pub_date	authors	title	venue	venue_details	abbr_venue	category	excerpt	paper_url	code_url	slide_url	comment
2017	Qian Dai, Jiahui Hou, Panlong Yang, Xiangyang Li, Fei Wang, Xumiao Zhang	The sound of silence: end-to-end sign language recognition using smartwatch	Proceedings of the 23rd Annual International Conference on Mobile Computing and Networking	462-464	MobiCom	Conference	NA	https://drive.google.com/file/d/1dXPbYvklGjMDTB50Aqxu9w6-RZK07_JO/view	NA	NA	NA
2019	Wei Tong, Fei Wang, Qi Liu, Enhong Chen	Data driven prediction for the difficulty of mathematical items	Journal of Computer Research and Development	56(5):1007-1019	CRD	Journal	NA	http://staff.ustc.edu.cn/~qiliuql/files/Publications/Wei-Tong-Jiyanfa2019.pdf	NA	NA	NA
2020	Fei Wang, Qi Liu, Enhong Chen, Zhenya Huang, Yuying Chen, Yu Yin, Zai Huang, Shijin Wang	Neural cognitive diagnosis for intelligent education systems	Proceedings of the AAAI conference on artificial intelligence	6153-6161	AAAI	Conference	NA	{{site.baseurl}}/files/NeuralCD_AAAI_2020.pdf	https://github.com/bigdata-ustc/Neural_Cognitive_Diagnosis-NeuralCD	{{site.baseurl}}/files/NeuralCD_AAAI_2020.pptx	NA
2021	Jie Huang, Qi Liu, Fei Wang, Zhenya Huang, Songtao Fang, Runze Wu, Enhong Chen, Yu Su, Shijin Wang	Group-level cognitive diagnosis: A multi-task learning perspective	IEEE International Conference on Data Mining	210-219	ICDM	Conference	NA	http://staff.ustc.edu.cn/~huangzhy/files/papers/JieHuang-ICDM2021.pdf	NA	NA	NA
2021	Yuqiang Zhou, Qi Liu, Jinze Wu, Fei Wang, Zhenya Huang, Wei Tong, Hui Xiong, Enhong Chen, Jianhui Ma	Modeling context-aware features for cognitive diagnosis in student learning	Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery & Data Mining	2420-2428	KDD	Conference	NA	http://staff.ustc.edu.cn/~cheneh/paper_pdf/2021/Yuqiang-Zhou-KDD.pdf	https://github.com/bigdata-ustc/ECD	NA	NA
2022	Jiatong Li, Fei Wang, Qi Liu, Mengxiao Zhu, Wei Huang, Zhenya Huang, Enhong Chen, Yu Su, Shijin Wang	HierCDF: A Bayesian Network-based Hierarchical Cognitive Diagnosis Framework	Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining	904-913	KDD	Conference	NA	http://staff.ustc.edu.cn/~cheneh/paper_pdf/2022/Jiatong-Li-KDD.pdf	https://github.com/CSLiJT/HCD-code	NA	NA
2022	Jiayu Liu, Fei Wang, Haiping Ma, Zhenya Huang, Qi Liu, Enhong Chen, Yu Su	A probabilistic framework for temporal cognitive diagnosis in online learning systems	Journal of Computer Science and Technology	38(6):1203-1222	JCST	Journal	NA	https://jcst.ict.ac.cn/en/article/pdf/preview/10.1007/s11390-022-1332-5.pdf	NA	NA	NA
2023	Fei Wang, Qi Liu, Enhong Chen, Zhenya Huang, Yu Yin, Shijin Wang, Yu Su	NeuralCD: a general framework for cognitive diagnosis	IEEE Transactions on Knowledge and Data Engineering	35(8):8312-8327	IEEE TKDE	Journal	NA	{{site.baseurl}}/files/NeuralCD_TKDE_2023.pdf	https://github.com/LegionKing/Neural_Cognitive_Diagnosis-NeuralCD	NA	NA
2023	Suojuan Zhang, Song Huang, Xiaohan Yu, Enhong Chen, Fei Wang, Zhenya Huang	A generalized multi-skill aggregation method for cognitive diagnosis	World Wide Web	26(2): 585-614	WWW	Journal	NA	https://link.springer.com/article/10.1007/s11280-021-00990-4	NA	NA	NA
2023	Zheng Zhang, Qi Liu, Hao Jiang, Fei Wang, Yan Zhuang, Le Wu, Weibo Gao, Enhong Chen	FairLISA: Fair User Modeling with Limited Sensitive Attributes Information	Thirty-seventh Conference on Neural Information Processing Systems	NA	NeurIPS	Conference	NA	https://openreview.net/pdf?id=uFpjPJMkv6	https://github.com/zhengz99/FairLISA	NA	NA
2023	Sanshi Lei Yu, Qi Liu, Fei Wang, Yang Yu, Enhong Chen	Federated News Recommendation with Fine-grained Interpolation and Dynamic Clustering	Proceedings of the 32nd ACM International Conference on Information and Knowledge Management	3073-3082	CIKM	Conference	NA	https://dl.acm.org/doi/abs/10.1145/3583780.3614881	NA	NA	NA
2023	Zihang Chen, Mengxiao Zhu, Fei Wang, Shuanghong Shen, Zhenya Huang, Qi Liu	Long-Term and Short-Term Perception in Knowledge Tracing	CCF Conference on Big Data	1-15	CCF bigdata	Conference	NA	https://link.springer.com/chapter/10.1007/978-981-99-8979-9_1	NA	NA	NA
2023	Weibo Gao, Hao Wang, Qi Liu, Fei Wang, Xin Lin, Linan Yue, Zheng Zhang, Rui Lv, Shijin Wang	Leveraging transferable knowledge concept graph embedding for cold-start cognitive diagnosis	Proceedings of the 46th International ACM SIGIR Conference on Research and Development in Information Retrieval	983-992	SIGIR	Conference	NA	http://staff.ustc.edu.cn/~qiliuql/files/Publications/Weibo-Gao-SIGIR23.pdf	https://github.com/bigdata-ustc/TechCD	NA	NA
2023	Yu Yin, Le Dai, Zhenya Huang, Shuanghong Shen, Fei Wang, Qi Liu, Enhong Chen, Xin Li	Tracing Knowledge Instead of Patterns: Stable Knowledge Tracing with Diagnostic Transformer	Proceedings of the ACM on Web Conference	855-864	WWW	Conference	NA	https://yxonic.github.io/pdfs/yin2023tracing.pdf	https://github.com/yxonic/DTransformer	NA	NA
2024	Xinjie Sun, Kai Zhang, Shuanghong Shen, Fei Wang, Yuxiang Guo, Qi Liu	Target hierarchy-guided knowledge tracing: Fine-grained knowledge state modeling	Expert Systems with Applications	251:123898	ESWA	Journal	NA	https://www.sciencedirect.com/science/article/abs/pii/S0957417424007644	NA	NA	NA
2024	Liyang He, Zhenya Huang, Jiayu Liu, Enhong Chen, Fei Wang, Jing Sha, Shijin Wang	Bit-mask Robust Contrastive Knowledge Distillation for Unsupervised Semantic Hashing	Proceedings of the ACM on Web Conference	1395-1406	WWW	Conference	NA	https://dl.acm.org/doi/abs/10.1145/3589334.3645440	https://github.com/hly1998/BRCD	NA	NA
2024	Fei Wang, Qi Liu, Enhong Chen, Chuanren Liu, Zhenya Huang, Jinze Wu, Shijin Wang	Unified Uncertainty Estimation for Cognitive Diagnosis Models	Proceedings of the ACM on Web Conference	3545-3554	WWW	Conference	NA	{{site.baseurl}}/files/UCD_WWW_2024.pdf	https://github.com/LegionKing/UCD	NA	NA
